State,Cases,Deaths,Population
AK,172329,955,731545
AL,1064539,16734,4903185
AR,681176,9434,3017804
AZ,1609792,25211,7278717
CA,6789403,76940,39512223
CO,1103720,10616,5758736
CT,637572,9556,3565287
DC,121871,1255,705749
DE,227594,2424,973764
FL,5041918,63090,21477737
GA,2113319,31928,10617423
HI,165622,1115,1415872
IA,645410,8201,3155070
ID,340857,4274,1787065
IL,2589640,32532,12671821
IN,1425877,20226,6732219
KS,621273,7162,2913314
KY,975346,12518,4467673
LA,996623,15137,4648794
MA,1426283,20939,6892503
MD,906209,12718,6045680
ME,160857,1658,1344212
MI,1984056,30709,9986857
MN,1138246,11111,5639632
MO,1181515,16614,6137428
MS,634628,10625,2976149
MT,212078,2945,1068778
NC,2011302,19903,10488084
ND,195545,2047,762062
NE,383915,3540,1934408
NH,235898,2079,1359711
NJ,1994502,30089,8882190
NM,398939,6145,2096829
NV,572769,8627,3080156
NY,4522008,61451,19453561
OH,2384107,30922,11689100
OK,811389,11740,3956971
OR,513391,5883,4217737
PA,2458722,38619,12801989
RI,302109,3175,1059361
SC,1148579,14915,5148714
SD,203137,2559,884659
TN,1618310,21479,6829174
TX,5522176,75996,28995881
UT,750334,3951,3205958
VA,1368271,15809,8535519
VT,77375,465,623989
WA,1041456,10196,7614893
WI,1297612,11649,5822434
WV,387115,5516,1792147
WY,126468,1588,578759
